"","Species","Indicator_Value.s.F1","Indicator_Value.s.F2","Indicator_Value.s.F3","Indicator_Value.s.F4","Indicator_Value.s.F5","Indicator_Value.index","Indicator_Value.stat","Indicator_Value.p.value","P_value"
"Aegithalos concinnus","Aegithalos concinnus",1,0,0,0,0,1,1,1,1
"Aethopyga nipalensis","Aethopyga nipalensis",1,0,1,1,1,29,1,1,1
"Aethopyga saturata","Aethopyga saturata",0,1,1,0,0,10,1,1,1
"Alcippe nipalensis","Alcippe nipalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthipes monileger","Anthipes monileger",1,0,0,0,1,9,1,1,1
"Arborophila torqueola","Arborophila torqueola",1,0,0,0,0,1,1,1,1
"Blythipicus pyrrhotis","Blythipicus pyrrhotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Certhia discolor","Certhia discolor",0,0,1,0,1,14,1,1,1
"Chelidorhynx hypoxanthus","Chelidorhynx hypoxanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloropsis hardwickii","Chloropsis hardwickii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissa chinensis","Cissa chinensis",0,1,0,1,0,11,1,1,1
"Columba hodgsonii","Columba hodgsonii",0,0,0,0,1,5,1,1,1
"Cutia nipalensis","Cutia nipalensis",0,0,1,0,0,3,1,1,1
"Dendrocitta formosae","Dendrocitta formosae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendrocitta frontalis","Dendrocitta frontalis",0,1,0,0,0,2,1,1,1
"Dicaeum cruentatum","Dicaeum cruentatum",1,1,0,1,0,17,1,1,1
"Dicaeum ignipectus","Dicaeum ignipectus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicrurus hottentottus","Dicrurus hottentottus",0,0,1,0,0,3,1,1,1
"Dicrurus leucophaeus","Dicrurus leucophaeus",0,0,1,0,1,14,1,1,1
"Dicrurus macrocercus","Dicrurus macrocercus",0,0,0,0,1,5,1,1,1
"Elachura formosa","Elachura formosa",0,0,1,0,0,3,1,1,1
"Enicurus maculatus","Enicurus maculatus",0,0,1,0,1,14,1,1,1
"Enicurus schistaceus","Enicurus schistaceus",0,1,1,0,1,23,1,1,1
"Erpornis zantholeuca","Erpornis zantholeuca",1,0,1,1,0,19,1,1,1
"Garrulax leucolophus","Garrulax leucolophus",1,1,0,1,0,17,1,1,1
"Grammatoptila striata","Grammatoptila striata",1,1,1,1,0,26,1,1,1
"Hypsipetes leucocephalus","Hypsipetes leucocephalus",1,1,1,0,1,27,1,1,1
"Ixos mcclellandii","Ixos mcclellandii",1,0,1,1,1,29,1,1,1
"Machlolophus spilonotus","Machlolophus spilonotus",0,0,1,0,0,3,1,1,1
"Myophonus caeruleus","Myophonus caeruleus",0,1,1,0,1,23,1,1,1
"Niltava macgrigoriae","Niltava macgrigoriae",0,0,1,0,0,3,1,1,1
"Pericrocotus solaris","Pericrocotus solaris",0,0,0,0,1,5,1,1,1
"Phylloscopus castaniceps","Phylloscopus castaniceps",0,0,0,0,1,5,1,1,1
"Phylloscopus chloronotus","Phylloscopus chloronotus",1,1,1,0,1,27,1,1,1
"Phylloscopus intermedius","Phylloscopus intermedius",0,1,0,0,0,2,1,1,1
"Phylloscopus maculipennis","Phylloscopus maculipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phylloscopus poliogenys","Phylloscopus poliogenys",1,0,0,0,0,1,1,1,1
"Phylloscopus reguloides","Phylloscopus reguloides",0,1,0,1,1,24,1,1,1
"Phylloscopus xanthoschistos","Phylloscopus xanthoschistos",1,0,1,0,1,20,1,1,1
"Pnoepyga albiventer","Pnoepyga albiventer",0,0,0,0,1,5,1,1,1
"Pnoepyga pusilla","Pnoepyga pusilla",0,1,1,1,1,30,1,1,1
"Pomatorhinus ferruginosus","Pomatorhinus ferruginosus",1,0,0,0,1,9,1,1,1
"Pomatorhinus ochraceiceps","Pomatorhinus ochraceiceps",1,0,0,0,0,1,1,1,1
"Pomatorhinus ruficollis","Pomatorhinus ruficollis",1,0,0,0,0,1,1,1,1
"Pteruthius melanotis","Pteruthius melanotis",1,0,0,0,0,1,1,1,1
"Rhipidura albicollis","Rhipidura albicollis",1,1,1,0,1,27,1,1,1
"Schoeniparus castaneceps","Schoeniparus castaneceps",1,0,0,1,1,21,1,1,1
"Stachyris nigriceps","Stachyris nigriceps",0,1,0,0,0,2,1,1,1
"Tesia cyaniventer","Tesia cyaniventer",0,1,0,0,0,2,1,1,1
"Tesia olivea","Tesia olivea",0,0,1,0,0,3,1,1,1
"Tickellia hodgsoni","Tickellia hodgsoni",0,0,0,0,1,5,1,1,1
"Trochalopteron squamatum","Trochalopteron squamatum",1,0,0,0,0,1,1,1,1
"Trochalopteron subunicolor","Trochalopteron subunicolor",0,0,0,0,1,5,1,1,1
"Urocissa flavirostris","Urocissa flavirostris",0,1,1,1,1,30,1,1,1
"Yuhina bakeri","Yuhina bakeri",0,0,1,0,0,3,1,1,1
"Yuhina flavicollis","Yuhina flavicollis",0,0,0,1,0,4,1,1,1
