plot,disturbance,season,year,common_name,scientific_name,family,order
F1-01,pre-disturbance,pre-winter,2021-2022,Red-billed-Scimitar Babbler,Pomatorhinus ochraceiceps,Timaliidae,Passeriformes
F1-01,pre-disturbance,pre-winter,2021-2022,Striated Laughingthrush,Grammatoptila striata,Leiothrichidae,Passeriformes
F1-01,pre-disturbance,pre-winter,2021-2022,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Sikkim Treecreeper,Certhia discolor,Certhiidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Small Niltava,Niltava macgrigoriae,Muscicapidae,Passeriformes
F3-01,pre-disturbance,pre-winter,2021-2022,Yellow-billed Blue Magpie,Urocissa flavirostris,Corvidae,Passeriformes
F2-01,pre-disturbance,pre-winter,2021-2022,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F4-01,pre-disturbance,pre-winter,2021-2022,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F2-01,pre-disturbance,pre-winter,2021-2022,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
